Company,Ticker,Exchange,Currency
ORANGE,ORA.PA,Euronext Paris,EUR
ORANGE BELGIUM,OBEL.PA,Euronext Brussels,EUR
ORANJEWOUD A,ORANW.PA,Euronext Amsterdam,EUR
ORAPI,ORAP.PA,Euronext Paris,EUR
ORAPI BSA,ORAPB.PA,Euronext Paris,EUR
ORBIS PROPERTIES,MLORB.PA,Euronext Access Paris,EUR
ORDINA,ORDI.PA,Euronext Amsterdam,EUR
ORDISSIMO,ALORD.PA,Euronext Growth Paris,EUR
OREGE,OREGE.PA,Euronext Paris,EUR
OREY ANTUNES ESC.,ORE.PA,Euronext Lisbon,EUR
ORIGIN ENT. PLC,OIZ.PA,Euronext Growth Dublin,EUR
ORINOQUIA,MLORQ.PA,Euronext Access Paris,EUR
ORMONDE MINING PLC,ORQ1.PA,Euronext Growth Dublin,EUR
ORPEA,ORP.PA,Euronext Paris,EUR
OSE IMMUNO,OSE.PA,Euronext Paris,EUR
OSMOZIS,ALOSM.PA,Euronext Growth Paris,EUR
OVOCA BIO PLC,OVXA.PA,Euronext Growth Dublin,EUR
OXURION,OXUR.PA,Euronext Brussels,EUR
OZ GROUP,ICE.PA,Euronext Expert Market,EUR
PACTE NOVATION,MLPAC.PA,Euronext Access Paris,EUR
PARAGON ID,PID.PA,Euronext Paris,EUR
PAREF,PAR.PA,Euronext Paris,EUR
PARFEX,MLPFX.PA,Euronext Access Paris,EUR
PARROT,PARRO.PA,Euronext Paris,EUR
PARROT BSA 1,PABSA.PA,Euronext Paris,EUR
PARROT BSA 2,PABSB.PA,Euronext Paris,EUR
PART.INDLES MINI.,MLHOP.PA,Euronext Access Paris,EUR
PARX MATERIALS NV,MLPRX.PA,Euronext Access Paris,EUR
PASSAT,PSAT.PA,Euronext Paris,EUR
PATRIMOINE ET COMM,PAT.PA,Euronext Paris,EUR
PATRIS,ALPTR.PA,Euronext Growth Lisbon,EUR
PAULIC MEUNERIE,ALPAU.PA,Euronext Growth Paris,EUR
PAYTON PLANAR,PAY.PA,Euronext Brussels,EUR
PCAS,PCA.PA,Euronext Paris,EUR
PEGASUS ORD SHARES,PACE.PA,Euronext Amsterdam,EUR
PEGASUS UNITS,PACEU.PA,Euronext Amsterdam,EUR
PEGASUS WARRANTS,PACEW.PA,Euronext Amsterdam,EUR
PERM. TSB GP. HOLD,IL0A.PA,Euronext Dublin,EUR
PERNOD RICARD,RI.PA,Euronext Paris,EUR
PERRIER (GERARD),PERR.PA,Euronext Paris,EUR
PETRONEFT RES.,P8ET.PA,Euronext Growth Dublin,EUR
PEUGEOT INVEST,PEUG.PA,Euronext Paris,EUR
PHARMAGEST INTER.,PHA.PA,Euronext Paris,EUR
PHARMASIMPLE,ALPHS.PA,Euronext Growth Paris,EUR
PHARMING GROUP,PHARM.PA,Euronext Amsterdam,EUR
PHARNEXT,ALPHA.PA,Euronext Growth Paris,EUR
PHAROL,PHR.PA,Euronext Lisbon,EUR
PHERECYDES PHARMA,ALPHE.PA,Euronext Growth Paris,EUR
PHILIPS BUY BACK,INPHI.PA,Euronext Amsterdam,EUR
PHILIPS KON,PHIA.PA,Euronext Amsterdam,EUR
PHONE WEB,MLPHW.PA,Euronext Access Paris,EUR
PHOTONIKE CAPITAL,MLPHO.PA,Euronext Access Paris,EUR
PICANOL,PIC.PA,Euronext Brussels,EUR
PIERRE VACANCES,VAC.PA,Euronext Paris,EUR
PISCINES DESJOYAUX,ALPDX.PA,Euronext Growth Paris,EUR
PIXIUM VISION,ALPIX.PA,Euronext Growth Paris,EUR
PLACOPLATRE,MLPLC.PA,Euronext Access Paris,EUR
PLANET MEDIA,ALPLA.PA,Euronext Growth Paris,EUR
PLANT ADVANCED,ALPAT.PA,Euronext Growth Paris,EUR
PLANT ADVANCED BS,PATBS.PA,Euronext Growth Paris,EUR
PLAST.VAL LOIRE,PVL.PA,Euronext Paris,EUR
PLASTIC OMNIUM,POM.PA,Euronext Paris,EUR
PORCELEYNE FLES,PORF.PA,Euronext Amsterdam,EUR
POSTNL,PNL.PA,Euronext Amsterdam,EUR
POUJOULAT,ALPJT.PA,Euronext Growth Paris,EUR
POULAILLON,ALPOU.PA,Euronext Growth Paris,EUR
POXEL,POXEL.PA,Euronext Paris,EUR
PPLA CLASS A,PPLAA.PA,Euronext Amsterdam,EUR
PPLA CLASS B,PPLAB.PA,Euronext Amsterdam,EUR
PPLA European Unit,PPLA.PA,Euronext Amsterdam,EUR
PRECIA,PREC.PA,Euronext Paris,EUR
PREDILIFE,ALPRE.PA,Euronext Growth Paris,EUR
PRISMAFLEX INTL,ALPRI.PA,Euronext Growth Paris,EUR
PROACTIS SA,PROAC.PA,Euronext Paris,EUR
PRODWARE,ALPRO.PA,Euronext Growth Paris,EUR
PRODWAYS,PWG.PA,Euronext Paris,EUR
PROLOGUE,PROL.PA,Euronext Paris,EUR
PROLOGUE BSA,PROBT.PA,Euronext Growth Paris,EUR
PROLOGUE BSA 2017,PROBS.PA,Euronext Growth Paris,EUR
PROP.IMMEUBLES,MLPRI.PA,Euronext Access Paris,EUR
PROSIEBENSAT,PSMP.PA,Traded not listed Brussels,EUR
PROSUS,PRX.PA,Euronext Amsterdam,EUR
PROVENTURE GOLD,MLPRO.PA,Euronext Access Paris,EUR
PROVIDENCE RES.,PZQA.PA,Euronext Growth Dublin,EUR
PROXIMUS,PROX.PA,Euronext Brussels,EUR
PUBLICIS BSA,PUBBS.PA,Euronext Paris,EUR
PUBLICIS GROUPE SA,PUB.PA,Euronext Paris,EUR
QRF,QRF.PA,Euronext Brussels,EUR
QUADIENT,QDT.PA,Euronext Paris,EUR
QUADPACK,ALQP.PA,Euronext Growth Paris,EUR
QUANTUM GENOMICS,ALQGC.PA,Euronext Growth Paris,EUR
QUESTFOR GR-PRICAF,QFG.PA,Euronext Brussels,EUR
QWAMPLIFY,ALQWA.PA,Euronext Growth Paris,EUR
QWAMPLIFY BSAANE,QWABS.PA,Euronext Growth Paris,EUR
RAIZE,MLRZE.PA,Euronext Access Lisbon,EUR
RALLYE,RAL.PA,Euronext Paris,EUR
RAMADA,RAM.PA,Euronext Lisbon,EUR
RAMSAY GEN SANTE,GDS.PA,Euronext Paris,EUR
RANDSTAD NV,RAND.PA,Euronext Amsterdam,EUR
RAPID NUTRITION,ALRPD.PA,Euronext Growth Paris,EUR
RAPIDO PRET,ML350.PA,Euronext Access Paris,EUR
REALCO,REAL.PA,Euronext Access Brussels,EUR
REALITES,ALREA.PA,Euronext Growth Paris,EUR
RECTICEL,REC.PA,Euronext Brussels,EUR
RECYLEX S.A.,RX.PA,Euronext Paris,EUR
REIBEL,REI.PA,Euronext Access Brussels,EUR
REINET INVESTMENTS,REINA.PA,Euronext Amsterdam,EUR
RELX,REN.PA,Euronext Amsterdam,EUR
REMY COINTREAU,RCO.PA,Euronext Paris,EUR
REN,RENE.PA,Euronext Lisbon,EUR
RENAULT,RNO.PA,Euronext Paris,EUR
RENEWI,RWI.PA,Euronext Amsterdam,EUR
RES GESTAE SOCIMI,MLJDL.PA,Euronext Access Paris,EUR
RESILUX,RES.PA,Euronext Brussels,EUR
REVIVAL EXPANSION,MLREX.PA,Euronext Access Paris,EUR
REWORLD MEDIA,ALREW.PA,Euronext Growth Paris,EUR
REXEL,RXL.PA,Euronext Paris,EUR
RIBER,ALRIB.PA,Euronext Growth Paris,EUR
ROBERTET,RBT.PA,Euronext Paris,EUR
ROBERTET CDV 87,CBR.PA,Euronext Paris,EUR
ROBERTET CI,CBE.PA,Euronext Paris,EUR
ROCHE BOBOIS,RBO.PA,Euronext Paris,EUR
ROCTOOL,ALROC.PA,Euronext Growth Paris,EUR
ROCTOOL BSA 2020,ROCBS.PA,Euronext Growth Paris,EUR
ROCTOOL BSA 2020-2,ROCBT.PA,Euronext Growth Paris,EUR
ROODMICROTEC,ROOD.PA,Euronext Amsterdam,EUR
ROSIER,ENGB.PA,Euronext Brussels,EUR
ROTHSCHILD & CO,ROTH.PA,Euronext Paris,EUR
ROUGIER S.A.,ALRGR.PA,Euronext Growth Paris,EUR
ROULARTA,ROU.PA,Euronext Brussels,EUR
ROUSSELET CENTRIF.,MLROU.PA,Euronext Access Paris,EUR
ROYAL DUTCH SHELLA,RDSA.PA,Euronext Amsterdam,EUR
ROYAL DUTCH SHELLB,RDSB.PA,Euronext Amsterdam,EUR
RSR SINGULAR,MLRSR.PA,Euronext Access Lisbon,EUR
RUBIS,RUI.PA,Euronext Paris,EUR
RYANAIR HOLD. PLC,RY4C.PA,Euronext Dublin,EUR
S.CLUBE BRAGA,SCB.PA,Euronext Access Lisbon,EUR
S.E.B.,SK.PA,Euronext Paris,EUR
SAFE,ALSAF.PA,Euronext Growth Paris,EUR
SAFRAN,SAF.PA,Euronext Paris,EUR
SAINT JEAN GROUPE,SABE.PA,Euronext Paris,EUR
SAMSE,SAMS.PA,Euronext Paris,EUR
SANOFI,SAN.PA,Euronext Paris,EUR
SAPMER,ALMER.PA,Euronext Growth Paris,EUR
SARTORIUS STED BIO,DIM.PA,Euronext Paris,EUR
SAVENCIA,SAVE.PA,Euronext Paris,EUR
SAVONNERIE NYONS,MLSDN.PA,Euronext Access Paris,EUR
SBM OFFSHORE,SBMO.PA,Euronext Amsterdam,EUR
SBT,MLSBT.PA,Euronext Access Paris,EUR
SCANDINAVIAN HOUSE,MLSHD.PA,Euronext Access Paris,EUR
SCBSM,CBSM.PA,Euronext Paris,EUR
SCEMI,MLCMI.PA,Euronext Access Paris,EUR
SCHEERD.V KERCHOVE,SCHD.PA,Euronext Brussels,EUR
SCHLUMBERGER,SLB.PA,Euronext Paris,EUR
SCHNEIDER ELECTRIC,SU.PA,Euronext Paris,EUR
SCHOBRUNN PARIS,MLSCH.PA,Euronext Access Paris,EUR
SCIENTIA SCHOOL,MLSCI.PA,Euronext Access Paris,EUR
SCOR SE,SCR.PA,Euronext Paris,EUR
SECHE ENVIRONNEM.,SCHP.PA,Euronext Paris,EUR
SEGRO PLC,SGRO.PA,Euronext Paris,EUR
SEIF SPA,ALSEI.PA,Euronext Growth Paris,EUR
SELCODIS,SLCO.PA,Euronext Paris,EUR
SELECTIRENTE,SELER.PA,Euronext Paris,EUR
SEMAPA,SEM.PA,Euronext Lisbon,EUR
SEMPLICEMENTE SpA,MLSMP.PA,Euronext Access Paris,EUR
SENSORION,ALSEN.PA,Euronext Growth Paris,EUR
SEQUA PETROLEUM NV,MLSEQ.PA,Euronext Access Paris,EUR
SEQUANA MEDICAL,SEQUA.PA,Euronext Brussels,EUR
SERGEFERRARI GROUP,SEFER.PA,Euronext Paris,EUR
SERMA GROUP,ALSER.PA,Euronext Growth Paris,EUR
SES,SESG.PA,Euronext Paris,EUR
SES IMAGOTAG,SESL.PA,Euronext Paris,EUR
SHOWROOMPRIVE,SRP.PA,Euronext Paris,EUR
SHURGARD,SHUR.PA,Euronext Brussels,EUR
SIDETRADE,ALBFR.PA,Euronext Growth Paris,EUR
SIEMENS,SIA.PA,Traded not listed Brussels,EUR
SIF HOLDING,SIFG.PA,Euronext Amsterdam,EUR
SIGNAUX GIROD,ALGIR.PA,Euronext Growth Paris,EUR
SIGNIFY NV,LIGHT.PA,Euronext Amsterdam,EUR
SII,SII.PA,Euronext Paris,EUR
SILC,MLSIL.PA,Euronext Access Paris,EUR
SIMAT,MLMAT.PA,Euronext Access Paris,EUR
SINTESI SpA,MLSNT.PA,Euronext Access Paris,EUR
SIPEF,SIP.PA,Euronext Brussels,EUR
SLIGRO FOOD GROUP,SLIGR.PA,Euronext Amsterdam,EUR
SMALTO,MLSML.PA,Euronext Access Paris,EUR
SMALTO BSA,SMLBS.PA,Euronext Access Paris,EUR
SMARTPHOTO GROUP,SMAR.PA,Euronext Brussels,EUR
SMCP,SMCP.PA,Euronext Paris,EUR
SMTPC,SMTPC.PA,Euronext Paris,EUR
SMURFIT KAPPA GP,SK3.PA,Euronext Dublin,EUR
SNOWWORLD,SNOW.PA,Euronext Amsterdam,EUR
SOC FRANC CASINOS,SFCA.PA,Euronext Paris,EUR
SOCIETE GENERALE,GLE.PA,Euronext Paris,EUR
SODEXO,SW.PA,Euronext Paris,EUR
SODITECH,SEC.PA,Euronext Paris,EUR
SOFINA,SOF.PA,Euronext Brussels,EUR
SOFTIMAT,SOFT.PA,Euronext Growth Brussels,EUR
SOGECLAIR,SOG.PA,Euronext Paris,EUR
SOITEC,SOI.PA,Euronext Paris,EUR
SOLOCAL GROUP,LOCAL.PA,Euronext Paris,EUR
SOLUTIONS 30 SE,S30.PA,Euronext Paris,EUR
SOLVAC NOM(RETAIL),SOLV.PA,Euronext Brussels,EUR
SOMFY SA,SO.PA,Euronext Paris,EUR
SONAE,SON.PA,Euronext Lisbon,EUR
SONAGI,SNG.PA,Euronext Access Lisbon,EUR
SOPRA STERIA GROUP,SOP.PA,Euronext Paris,EUR
SPADEL,SPA.PA,Euronext Brussels,EUR
SPARTOO,ALSPT.PA,Euronext Growth Paris,EUR
SPEED RABBIT PIZZA,MLSRP.PA,Euronext Access Paris,EUR
SPIE,SPIE.PA,Euronext Paris,EUR
SPINEGUARD,ALSGD.PA,Euronext Growth Paris,EUR
SPINEGUARD BS,SGDBS.PA,Euronext Growth Paris,EUR
SPINEWAY,ALSPW.PA,Euronext Growth Paris,EUR
SPORTING,SCP.PA,Euronext Lisbon,EUR
SQLI,SQI.PA,Euronext Paris,EUR
ST DUPONT,DPT.PA,Euronext Paris,EUR
STEF,STF.PA,Euronext Paris,EUR
STELLANTIS NV,STLA.PA,Euronext Paris,EUR
STERN GROEP,STRN.PA,Euronext Amsterdam,EUR
STMICROELECTRONICS,STM.PA,Euronext Paris,EUR
STRADIM ESPAC.FIN,ALSAS.PA,Euronext Growth Paris,EUR
STREAMWIDE,ALSTW.PA,Euronext Growth Paris,EUR
STREIT MECANIQUE,MLSTR.PA,Euronext Access Paris,EUR
SUMO RESOURCES PLC,MLSUM.PA,Euronext Access Paris,EUR
SWORD GROUP,SWP.PA,Euronext Paris,EUR
SYNERGIE,SDG.PA,Euronext Paris,EUR
TARKETT,TKTT.PA,Euronext Paris,EUR
TAYNINH,TAYN.PA,Euronext Paris,EUR
TEAM,MLTEA.PA,Euronext Access Paris,EUR
TECH BSA 2024,TECBS.PA,Euronext Paris,EUR
TECHNICOLOR,TCH.PA,Euronext Paris,EUR
TECHNIP ENERGIES,TE.PA,Euronext Paris,EUR
TECHNIPFMC,FTI.PA,Euronext Paris,EUR
TEIXEIRA DUARTE,TDSA.PA,Euronext Lisbon,EUR
TELECOM ITALIA SPA,TIT.PA,Traded not listed Brussels,EUR
TELEFONICA,TFA.PA,Traded not listed Brussels,EUR
TELENET GROUP,TNET.PA,Euronext Brussels,EUR
TELEPERFORMANCE,TEP.PA,Euronext Paris,EUR
TELEVERBIER,TVRB.PA,Euronext Paris,EUR
TELEVISTA,MLVST.PA,Euronext Access Paris,EUR
TER BEKE,TERB.PA,Euronext Brussels,EUR
TESCO PLC,TCO.PA,Euronext Dublin,EUR
TESSENDERLO,TESB.PA,Euronext Brussels,EUR
TESSI,TES.PA,Euronext Paris,EUR
TETRYS,TET.PA,Euronext Expert Market,EUR
TEXAF,TEXF.PA,Euronext Brussels,EUR
TF1,TFI.PA,Euronext Paris,EUR
TFF GROUP,TFF.PA,Euronext Paris,EUR
THALES,HO.PA,Euronext Paris,EUR
THE BLOCKCHAIN GP,ALTBG.PA,Euronext Growth Paris,EUR
THE NAVIGATOR COMP,NVG.PA,Euronext Lisbon,EUR
THERACLION,ALTHE.PA,Euronext Growth Paris,EUR
THERADIAG,ALTER.PA,Euronext Growth Paris,EUR
THERANEXUS,ALTHX.PA,Euronext Growth Paris,EUR
THERMADOR GROUPE,THEP.PA,Euronext Paris,EUR
TIE KINETIX,TIE.PA,Euronext Amsterdam,EUR
TIKEHAU CAPITAL,TKO.PA,Euronext Paris,EUR
TINC,TINC.PA,Euronext Brussels,EUR
TIPIAK,TIPI.PA,Euronext Paris,EUR
TISCALI,TISN.PA,Traded not listed Brussels,EUR
TIVOLY,ALTIV.PA,Euronext Growth Paris,EUR
TKH GROUP,TWEKA.PA,Euronext Amsterdam,EUR
TOMTOM,TOM2.PA,Euronext Amsterdam,EUR
TOOLUX SANDING,ALTLX.PA,Euronext Growth Paris,EUR
TOQUES BLANCHES,ALTBM.PA,Euronext Growth Paris,EUR
TOTAL GABON,EC.PA,Euronext Paris,EUR
TOUAX,TOUP.PA,Euronext Paris,EUR
TOUR EIFFEL,EIFF.PA,Euronext Paris,EUR
TOUTABO,MLABO.PA,Euronext Access Paris,EUR
TOYOTA CAETANO,SCT.PA,Euronext Lisbon,EUR
TPSH,MLPSH.PA,Euronext Access Paris,EUR
TRAMWAYS DE ROUEN,MLTRA.PA,Euronext Access Paris,EUR
TRANSGENE,TNG.PA,Euronext Paris,EUR
TRANSITION SHARES,TRAN.PA,Euronext Paris,EUR
TRANSITION WARRANT,TRANW.PA,Euronext Paris,EUR
TRIGANO,TRI.PA,Euronext Paris,EUR
TRILOGIQ,ALTRI.PA,Euronext Growth Paris,EUR
TROC ILE,MLTRO.PA,Euronext Access Paris,EUR
TRONICS,ALTRO.PA,Euronext Growth Paris,EUR
TTI,ALTTI.PA,Euronext Growth Paris,EUR
TUBIZE (ATTR),TUBAT.PA,Euronext Expert Market,EUR
TUBIZE-FIN,TUB.PA,Euronext Brussels,EUR
TULLOW OIL PLC,TQW.PA,Euronext Dublin,EUR
TXCOM,ALTXC.PA,Euronext Growth Paris,EUR
U10 CORP,ALU10.PA,Euronext Growth Paris,EUR
UBISOFT ENTERTAIN,UBI.PA,Euronext Paris,EUR
UCAR,ALUCR.PA,Euronext Growth Paris,EUR
UCARE SERVICES BEL,PNSB.PA,Euronext Access Brussels,EUR
UCB,UCB.PA,Euronext Brussels,EUR
UMALIS GROUP,MLUMG.PA,Euronext Access Paris,EUR
UMANIS,ALUMS.PA,Euronext Growth Paris,EUR
UMG,UMG.PA,Euronext Amsterdam,EUR
UMICORE,UMI.PA,Euronext Brussels,EUR
UNI.METALG.HT-SEI.,MLUMH.PA,Euronext Access Paris,EUR
UNIBEL,UNBL.PA,Euronext Paris,EUR
UNIFIEDPOST GROUP,UPG.PA,Euronext Brussels,EUR
UNILEVER,UNA.PA,Euronext Amsterdam,EUR
UNION FIN.FRANCE,UFF.PA,Euronext Paris,EUR
UNION TECH.INFOR.,FPG.PA,Euronext Paris,EUR
UNIPHAR PLC,UPR.PA,Euronext Growth Dublin,EUR
UNITI,ALUNT.PA,Euronext Growth Paris,EUR
UPERGY,ALUPG.PA,Euronext Growth Paris,EUR
UV GERMI,ALUVI.PA,Euronext Growth Paris,EUR
V LANSCHOT KEMPEN,VLK.PA,Euronext Amsterdam,EUR
VAA VISTA ALEGRE,VAF.PA,Euronext Lisbon,EUR
VALBIOTIS,ALVAL.PA,Euronext Growth Paris,EUR
VALEO,FR.PA,Euronext Paris,EUR
VALLOUREC,VK.PA,Euronext Paris,EUR
VALLOUREC BSA 21,VKBS.PA,Euronext Paris,EUR
VALNEVA,VLA.PA,Euronext Paris,EUR
VALONEO,MLVAL.PA,Euronext Access Paris,EUR
VALUE8,VALUE.PA,Euronext Amsterdam,EUR
VALUE8 CUM PREF,PREVA.PA,Euronext Amsterdam,EUR
VAM INVEST SHARES,VAM.PA,Euronext Amsterdam,EUR
VAM INVEST TR SHA,VAMT.PA,Euronext Amsterdam,EUR
VAM INVEST WARRANT,VAMW.PA,Euronext Amsterdam,EUR
VAN DE VELDE,VAN.PA,Euronext Brussels,EUR
VASTNED,VASTN.PA,Euronext Amsterdam,EUR
VASTNED BELGIUM,VASTB.PA,Euronext Brussels,EUR
VENTE UNIQUE.COM,ALVU.PA,Euronext Growth Paris,EUR
VEOLIA ENVIRON.,VIE.PA,Euronext Paris,EUR
VEON,VEON.PA,Euronext Amsterdam,EUR
VERALLIA,VRLA.PA,Euronext Paris,EUR
VERGNET,ALVER.PA,Euronext Growth Paris,EUR
VERIMATRIX,VMX.PA,Euronext Paris,EUR
VERNEY CARRON,MLVER.PA,Euronext Access Paris,EUR
VETOQUINOL,VETO.PA,Euronext Paris,EUR
VGP,VGP.PA,Euronext Brussels,EUR
VIALIFE,ALVIA.PA,Euronext Growth Paris,EUR
VICAT,VCT.PA,Euronext Paris,EUR
VIEL ET COMPAGNIE,VIL.PA,Euronext Paris,EUR
VILMORIN & CIE,RIN.PA,Euronext Paris,EUR
VINCI,DG.PA,Euronext Paris,EUR
VIOHALCO,VIO.PA,Euronext Brussels,EUR
VIRBAC,VIRP.PA,Euronext Paris,EUR
VISIATIV,ALVIV.PA,Euronext Growth Paris,EUR
VISIATIV BS,VIVBS.PA,Euronext Growth Paris,EUR
VISIO NERF,MLVIS.PA,Euronext Access Paris,EUR
VISIODENT,SDT.PA,Euronext Paris,EUR
VISIOMED BSA2018-1,VMGBS.PA,Euronext Growth Paris,EUR
VISIOMED GROUP,ALVMG.PA,Euronext Growth Paris,EUR
VISIOMEDBSA26OCT23,VMGBT.PA,Euronext Growth Paris,EUR
VITURA,VTR.PA,Euronext Paris,EUR
VIVENDI SE,VIV.PA,Euronext Paris,EUR
VIVORYON,VVY.PA,Euronext Amsterdam,EUR
VOGO,ALVGO.PA,Euronext Growth Paris,EUR
VOLKSWAGEN,VWA.PA,Traded not listed Brussels,EUR
VOLKSWAGEN PREF,VWAP.PA,Traded not listed Brussels,EUR
VOLTA FINANCE,VTA.PA,Euronext Amsterdam,EUR
VOLTALIA,VLTSA.PA,Euronext Paris,EUR
VOLUNTIS,ALVTX.PA,Euronext Growth Paris,EUR
VOPAK,VPK.PA,Euronext Amsterdam,EUR
VOYAGEURS DU MONDE,ALVDM.PA,Euronext Growth Paris,EUR
VR EDUCATION HOLD.,6VR.PA,Euronext Growth Dublin,EUR
VREF SEVILLE,MLVRF.PA,Euronext Access Paris,EUR
WALLIX,ALLIX.PA,Euronext Growth Paris,EUR
WAREHOUSES,WEB.PA,Euronext Brussels,EUR
WAVESTONE,WAVE.PA,Euronext Paris,EUR
WE.CONNECT,ALWEC.PA,Euronext Growth Paris,EUR
WEACCESS GROUP,MLWEA.PA,Euronext Access Paris,EUR
WEDIA,ALWED.PA,Euronext Growth Paris,EUR
WELL,MLWEL.PA,Euronext Access Paris,EUR
WENDEL,MF.PA,Euronext Paris,EUR
WERELDHAVE,WHA.PA,Euronext Amsterdam,EUR
WERELDHAVE BELGIUM,WEHB.PA,Euronext Brussels,EUR
WEYA,MLWEY.PA,Euronext Access Paris,EUR
WHITENI R CAJAL,MLWRC.PA,Euronext Access Paris,EUR
WHITESTONE GROUP,ROCK.PA,Euronext Growth Brussels,EUR
WINFARM,ALWF.PA,Euronext Growth Paris,EUR
WITBE,ALWIT.PA,Euronext Growth Paris,EUR
WIZIBOAT,MLWIZ.PA,Euronext Access Paris,EUR
WOL. EXTENS. CERT,WOLE.PA,Euronext Brussels,EUR
WOL. SHOPPING CERT,WOLS.PA,Euronext Brussels,EUR
WOLTERS KLUWER,WKL.PA,Euronext Amsterdam,EUR
WORLDLINE,WLN.PA,Euronext Paris,EUR
X-FAB,XFAB.PA,Euronext Paris,EUR
XILAM ANIMATION,XIL.PA,Euronext Paris,EUR
XIOR,XIOR.PA,Euronext Brussels,EUR
YATRA,YATRA.PA,Euronext Amsterdam,EUR
YEW GROVE REIT PLC,YEW.PA,Euronext Dublin,EUR
ZCCM,MLZAM.PA,Euronext Access Paris,EUR
ZCI LIMITED,CV.PA,Euronext Paris,EUR
ZENOBE GRAMME CERT,ZEN.PA,Euronext Brussels,EUR
HAMMERSON PLC,HMSO.L,Euronext Dublin,GBP
2020 BULKERS,2020.OL,Oslo Børs,NOK
5TH PLANET GAMES,5PG.OL,Euronext Expand Oslo,NOK
AASEN SPAREBANK,AASB.OL,Euronext Growth Oslo,NOK
ABG SUNDAL COLLIER,ABG.OL,Oslo Børs,NOK
ADEVINTA,ADE.OL,Oslo Børs,NOK
ADS MARITIME HOLD,ADS.OL,Euronext Growth Oslo,NOK
AEGA,AEGA.OL,Euronext Expand Oslo,NOK
AEGA TR,AEGAT.OL,Euronext Expand Oslo,NOK
AF GRUPPEN,AFG.OL,Oslo Børs,NOK
AGILYX,AGLX.OL,Euronext Growth Oslo,NOK
AIRTHINGS,AIRX.OL,Euronext Growth Oslo,NOK
AKASTOR,AKAST.OL,Oslo Børs,NOK
AKER,AKER.OL,Oslo Børs,NOK
AKER BIOMARINE,AKBM.OL,Oslo Børs,NOK
AKER BP,AKRBP.OL,Oslo Børs,NOK
AKER CARBON CAPTUR,ACC.OL,Oslo Børs,NOK
AKER CLEAN HYDROGE,ACH.OL,Euronext Growth Oslo,NOK
AKER HORIZONS,AKH.OL,Oslo Børs,NOK
AKER OFFSHORE WIND,AOW.OL,Euronext Growth Oslo,NOK
AKER SOLUTIONS,AKSO.OL,Oslo Børs,NOK
AKOBO MINERALS,AKOBO.OL,Euronext Growth Oslo,NOK
AKVA GROUP,AKVA.OL,Oslo Børs,NOK
ALTERNUS ENERGY GR,ALT.OL,Euronext Growth Oslo,NOK
AMERICAN SHIPPING,AMSC.OL,Oslo Børs,NOK
ANDFJORD SALMON,ANDF.OL,Euronext Growth Oslo,NOK
ANORA GROUP,ANORA.OL,Oslo Børs,NOK
AQUA BIO TECHNO,ABT.OL,Euronext Expand Oslo,NOK
AQUALISBRAEMAR LOC,AQUA.OL,Oslo Børs,NOK
ARCHER,ARCH.OL,Oslo Børs,NOK
ARCTIC BIOSCIENCE,ABS.OL,Euronext Growth Oslo,NOK
ARCTIC FISH HOLDIN,AFISH.OL,Euronext Growth Oslo,NOK
ARCTICZYMES TECHNO,AZT.OL,Oslo Børs,NOK
ARENDALS FOSSEKOMP,AFK.OL,Oslo Børs,NOK
ARGEO,ARGEO.OL,Euronext Growth Oslo,NOK
ARRIBATEC GROUP,ARR.OL,Oslo Børs,NOK
ASETEK,ASTK.OL,Oslo Børs,NOK
ASTROCAST,ASTRO.OL,Euronext Growth Oslo,NOK
ATEA,ATEA.OL,Oslo Børs,NOK
ATLANTIC SAPPHIRE,ASA.OL,Oslo Børs,NOK
AURSKOG SPAREBANK,AURG.OL,Oslo Børs,NOK
AUSTEVOLL SEAFOOD,AUSS.OL,Oslo Børs,NOK
AVANCE GAS HOLDING,AGAS.OL,Oslo Børs,NOK
AWILCO DRILLING,AWDR.OL,Oslo Børs,NOK
AWILCO LNG,ALNG.OL,Euronext Expand Oslo,NOK
AXACTOR,ACR.OL,Oslo Børs,NOK
AYFIE GROUP,AYFIE.OL,Euronext Growth Oslo,NOK
B2HOLDING,B2H.OL,Oslo Børs,NOK
BAKKAFROST,BAKKA.OL,Oslo Børs,NOK
BALTIC SEA PROP,BALT.OL,Euronext Growth Oslo,NOK
BANK NORWEGIAN,BANO.OL,Oslo Børs,NOK
BARRAMUNDI GROUP,BARRA.OL,Euronext Growth Oslo,NOK
BELSHIPS,BELCO.OL,Oslo Børs,NOK
BERGEN CARBON SOL,BCS.OL,Euronext Growth Oslo,NOK
BERGENBIO,BGBIO.OL,Oslo Børs,NOK
BEWI,BEWI.OL,Oslo Børs,NOK
BIOFISH HOLDING,BFISH.OL,Euronext Growth Oslo,NOK
BLACK SEA PROPERTY,BSP.OL,Euronext Growth Oslo,NOK
BONHEUR,BONHR.OL,Oslo Børs,NOK
BORGESTAD,BOR.OL,Oslo Børs,NOK
BORR DRILLING,BORR.OL,Oslo Børs,NOK
BORREGAARD,BRG.OL,Oslo Børs,NOK
BOUVET,BOUV.OL,Oslo Børs,NOK
BRABANK,BRA.OL,Euronext Growth Oslo,NOK
BW ENERGY LIMITED,BWE.OL,Oslo Børs,NOK
BW Epic Kosan,BWEK.OL,Euronext Growth Oslo,NOK
BW IDEOL,BWIDL.OL,Euronext Growth Oslo,NOK
