Ticker,Name,Description,Mrkt Cap,Sector
HL,Hecla Mining Company,Metals & Mining,2.81B,Materials
HLAH,Hamilton Lane Alliance Holdings I,Blank Check / SPAC,317.24M,SPAC
HLBZ,Helbiz,Recreational Vehicles,167.36M,Discretionary
HLF,Herbalife Nutrition,Personal Products,4.59B,Discretionary
HLG,Hailiang Education Group,Diversified Consumer Services,324.55M,Discretionary
HLI,Houlihan Lokey,Capital Markets,7.07B,Financials
HLIO,Helios Technologies,Machinery,3.41B,Industrials
HLIT,Harmonic,Communications Equipment,1.21B,Industrial
HLLY,Holley,Auto Parts,1.50B,Industrial
HLMN,Hillman Solutions,Tools & Accessories,2.08B,Industrials
HLNE,Hamilton Lane,Capital Markets,3.85B,Financials
HLT,Hilton Worldwide Holdings,"Hotels, Restaurants & Leisure",43.48B,Discretionary
HLTH,Cue Health,Health Information Services,1.96B,Healthcare
HLX,Helix Energy Solutions Group,Energy Equipment & Services,470.77M,Energy
HLXA,Helix Acquisition,Blank Check / SPAC,146.42M,SPAC
HMC,Honda Motor Company,Automobiles,48.77B,Discretionary
HMCO,HumanCo Acquisition,Blank Check / SPAC,375.92M,SPAC
HMG,HMG Courtland Properties,Equity Real Estate Investment Trusts...,23.90M,Real Estate
HMHC,Houghton Mifflin Harcourt Company,Diversified Consumer Services,2.06B,Discretionary
HMLP,"Hoegh Lng Partners, LP","Oil, Gas & Consumable Fuels",144.17M,Energy
HMN,Horace Mann Educators,Insurance,1.61B,Financials
HMNF,HMN Financial,Thrifts & Mortgage Finance,113.35M,Financials
HMPT,Home Point Capital,Mortgage Finance,627.88M,Financials
HMST,HomeStreet,Thrifts & Mortgage Finance,1.06B,Financials
HMTV,Hemisphere Media Group,Media,292.77M,Communication
HMY,Harmony Gold Mining Company,Metals & Mining,2.55B,Materials
HNGR,Hanger,Health Care Providers & Services,701.79M,Healthcare
HNI,HNI Corporation,Commercial Services & Supplies,1.83B,Industrial
HNNA,Hennessy Advisors,Capital Markets,79.79M,Financials
HNP,Huaneng Power International,Independent Power and Renewable Elect...,10.36B,Energy
HNRG,Hallador Energy Company,"Oil, Gas & Consumable Fuels",75.31M,Energy
HNST,The Honest Company,Specialty Retail,736.42M,Discretionary
HOFT,Hooker Furniture,Household Durables,277.55M,Discretionary
HOFV,Hall of Fame Resort & Entertainment Company,Entertainment,145.08M,Communication
HOG,Harley-Davidson,Automobiles,5.80B,Discretionary
HOLI,HollySys Automation Technologies,"Electronic Equipment, Instruments & C...",862.75M,Industrial
HOLX,Hologic,Health Care Equipment & Supplies,19.25B,Healthcare
HOMB,Home Bancshares,Banks,3.99B,Financials
HON,Honeywell International,Industrial Conglomerates,143.54B,Industrials
HONE,HarborOne Bancorp,Banks,789.91M,Financials
HOOD,Robinhood Markets,Software-Infrastructure,14.84B,Information Technology
HOOK,HOOKIPA Pharma,Biotechnology,69.80M,Healthcare
HOPE,Hope Bancorp,Banks,1.77B,Financials
HOTH,Hoth Therapeutics,Pharmaceuticals,15.82M,Healthcare
HOV,Hovnanian Enterprises,Household Durables,796.19M,Discretionary
HOWL,Werewolf Therapeutics,Biotechnology,328.47M,Healthcare
HP,Helmerich & Payne,Energy Equipment & Services,2.56B,Energy
HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph...",20.40B,Information Technology
HPK,HighPeak Energy,Oil & Gas E&P,1.43B,Energy
HPLT,Home Plate Acquisition,Blank Check / SPAC,241.75M,SPAC
HPP,Hudson Pacific Properties,Equity Real Estate Investment Trusts...,3.77B,Real Estate
HPQ,HP Inc.,"Technology Hardware, Storage & Periph...",40.79B,Information Technology
HPX,HPX Corp.,Shell Companies,311.94M,Financials
HQI,HireQuest,Professional Services,276.90M,Services
HQY,HealthEquity,Health Care Providers & Services,3.70B,Healthcare
HR,Healthcare Realty Trust,Equity Real Estate Investment Trusts...,4.67B,Real Estate
HRB,H&R Block,Diversified Consumer Services,4.14B,Discretionary
HRI,Herc Holdings,Trading Companies & Distributors,4.64B,Industrials
HRL,Hormel Foods,Food Products,26.48B,Staples
HRMY,Harmony Biosciences Holdings,Biotechnology,2.49B,Healthcare
HROW,Harrow Health,Pharmaceuticals,232.44M,Healthcare
HRT,HireRight Holdings,Staffing & Employment Services,1.27B,Discretionary
HRTG,Heritage Insurance Holdings,Insurance,163.94M,Financials
HRTX,Heron Therapeutics,Biotechnology,930.67M,Healthcare
HRZN,Horizon Technology Finance,Capital Markets,325.20M,Financials
HSAQ,Health Sciences Acquisitions Corp. 2,Blank Check / SPAC,206.14M,SPAC
HSBC,HSBC Holdings,Banks,122.93B,Financials
HSC,Harsco,Machinery,1.32B,Industrials
HSDT,Helius Medical Technologies,Health Care Equipment & Supplies,19.85M,Healthcare
HSIC,Henry Schein,Health Care Providers & Services,10.75B,Healthcare
HSII,Heidrick & Struggles International,Professional Services,856.74M,Services
HSKA,Heska,Health Care Equipment & Supplies,1.95B,Healthcare
HSON,Hudson Global,Professional Services,78.51M,Services
HST,Host Hotels & Resorts,Equity Real Estate Investment Trusts...,12.42B,Real Estate
HSTM,HealthStream,Health Care Technology,831.98M,Healthcare
HSTO,Histogen,Biotechnology,16.62M,Healthcare
HSY,The Hershey Company,Food Products,39.86B,Staples
HT,Hersha Hospitality Trust,Equity Real Estate Investment Trusts...,360.56M,Real Estate
HTA,Healthcare Trust of America,Equity Real Estate Investment Trusts...,7.37B,Real Estate
HTBI,HomeTrust Bancshares,Banks,505.48M,Financials
HTBK,Heritage Commerce,Banks,719.62M,Financials
HTBX,Heat Biologics,Biotechnology,77.23M,Healthcare
HTGC,Hercules Capital,Capital Markets,1.92B,Financials
HTGM,HTG Molecular Diagnostics,Health Care Technology,41.02M,Healthcare
HTH,Hilltop Holdings,Banks,2.77B,Financials
HTHT,Huazhu Group,"Hotels, Restaurants & Leisure",12.09B,Discretionary
HTLD,Heartland Express,Road & Rail,1.33B,Industrials
HTLF,Heartland Financial USA,Banks,2.14B,Financials
HTOO,Fusion Fuel Green,Utilities-Renewable,108.66M,Utilities
HTPA,Highland Transcend Partners I,Blank Check / SPAC,372.00M,SPAC
HTZ,Hertz Global Holdings,Rental & Leasing Services,11.57B,Discretionary
HUBB,Hubbell,Electrical Equipment,11.33B,Industrial
HUBG,Hub Group,Air Freight & Logistics,2.92B,Industrial
HUBS,HubSpot,Software,31.14B,Information Technology
HUDI,Huadi International Group Co.,Steel,420.13M,Materials
HUGE,FSD Pharma,IT Services,41.85M,Information Technology
HUGS,USHG Acquisition,Blank Check / SPAC,370.05M,SPAC
HUIZ,Huize Holding,Insurance Brokers,74.27M,Financials
HUM,Humana,Health Care Providers & Services,59.62B,Healthcare
HUMA,Humacyte,Biotechnology,746.77M,Healthcare
HUN,Huntsman,Chemicals,7.60B,Materials
HURC,Hurco Companies,Machinery,196.06M,Industrials
HURN,Huron Consulting Group,Professional Services,1.09B,Services
HUSA,Houston American Energy,"Oil, Gas & Consumable Fuels",14.20M,Energy
HUSN,Hudson Capital,Capital Markets,19.49M,Financials
HUT,Hut 8 Mining,Capital Markets,1.31B,Financials
HUYA,HUYA Inc.,Entertainment,1.65B,Communication
HVBC,HV Bancorp,Thrifts & Mortgage Finance,48.36M,Financials
HVT,Haverty Furniture Companies,Specialty Retail,544.43M,Discretionary
HWBK,Hawthorn Bancshares,Banks,171.64M,Financials
HWC,Hancock Whitney,Banks,4.34B,Financials
HWEL,Healthwell Acquisition I,Blank Check / SPAC,302.81M,SPAC
HWKN,Hawkins,Chemicals,832.90M,Materials
HWKZ,Hawks Acquisition,Blank Check / SPAC,242.25M,SPAC
HWM,Howmet Aerospace,Aerospace & Defense,13.60B,Industrial
HXL,Hexcel,Aerospace & Defense,4.35B,Industrial
HY,Hyster-Yale Materials Handling,Machinery,691.59M,Industrials
HYAC,Haymaker Acquisition III,Blank Check / SPAC,390.13M,SPAC
HYFM,Hydrofarm Holdings Group,Farm & Heavy Construction Machinery,1.26B,Industrial
HYLN,Hyliion Holdings,Auto Parts,1.07B,Industrial
HYMC,Hycroft Mining Holding,Gold,37.07M,Materials
HYPR,Hyperfine,Medical Devices,37.92M,Healthcare
HYRE,HyreCar,Diversified Consumer Services,101.31M,Discretionary
HYW,Hywin Holdings,Investment Advice ,157.08M,Financials
HYZN,Hyzon Motors,Auto Manufacturers,1.61B,Industrial
HZN,Horizon Global,Auto Components,217.75M,Industrial
HZNP,Horizon Therapeutics,Pharmaceuticals,24.44B,Healthcare
HZO,MarineMax,Specialty Retail,1.30B,Discretionary
HZON,Horizon Acquisition II,Blank Check / SPAC,645.09M,SPAC
IAA,"IAA, Inc.",Commercial Services & Supplies,6.83B,Industrial
IAC,IAC/InterActiveCorp,Interactive Media & Services,11.71B,Information Technology
IACC,ION Acquisition 3,Blank Check / SPAC,316.69M,SPAC
IAG,Iamgold,Metals & Mining,1.49B,Materials
IART,Integra LifeSciences Holdings,Health Care Equipment & Supplies,5.67B,Healthcare
IAS,Integral Ad Science Holding,Advertising Agencies,3.42B,Communication
IBA,"Industrias Bachoco, S.A.B. de C.V.",Food Products,2.13B,Staples
IBCP,Independent Bank,Banks,507.88M,Financials
IBER,Ibere Pharmaceuticals,Blank Check / SPAC,167.67M,SPAC
IBEX,IBEX Limited,Software,238.10M,Information Technology
IBIO,"iBio, Inc.",Biotechnology,119.66M,Healthcare
IBKR,Interactive Brokers Group,Capital Markets,33.10B,Financials
IBM,International Business Machines,IT Services,119.80B,Information Technology
IBN,ICICI Bank,Banks,69.04B,Financials
IBOC,International Bancshares,Banks,2.69B,Financials
IBP,Installed Building Products,Household Durables,4.15B,Discretionary
IBRX,ImmunityBio,Biotechnology,2.42B,Healthcare
IBTX,Independent Bank Group,Banks,3.10B,Financials
ICAD,"iCAD, Inc.",Health Care Technology,180.79M,Healthcare
ICCC,ImmuCell,Biotechnology,61.94M,Healthcare
ICCH,ICC Holdings,Insurance,55.15M,Financials
ICCM,IceCure Medical,Medical Care Facilities,97.06M,Healthcare
ICD,Independence Contract Drilling,Energy Equipment & Services,28.69M,Energy
ICE,Intercontinental Exchange,Capital Markets,77.06B,Financials
ICFI,ICF International,Professional Services,1.94B,Services
ICHR,Ichor Holdings,Semiconductors & Semiconductor Equipment,1.31B,Information Technology
ICL,ICL Group,Chemicals,12.45B,Materials
ICLK,iClick Interactive Asia Group,Media,436.79M,Communication
ICLR,ICON plc,Life Sciences Tools & Services,24.68B,Healthcare
ICMB,Investcorp Credit Management BDC,Capital Markets,71.20M,Financials
ICNC,Iconic Sports Acquisition,Blank Check / SPAC,359.96M,SPAC
ICPT,Intercept Pharmaceuticals,Biotechnology,481.32M,Healthcare
ICUI,ICU Medical,Health Care Equipment & Supplies,5.04B,Healthcare
ICVX,Icosavax,Biotechnology,893.28M,Healthcare
ID,PARTS iD,Specialty Retail,80.94M,Discretionary
IDA,IDACORP,Electric Utilities,5.72B,Utilities
IDBA,IDEX Biometrics ASA,Software-Application,390.14M,Information Technology
IDCC,InterDigital,Communications Equipment,2.20B,Industrial
IDEX,Ideanomics,Software,597.22M,Information Technology
IDN,Intellicheck,"Electronic Equipment, Instruments & C...",86.60M,Industrial
IDRA,Idera Pharmaceuticals,Biotechnology,30.10M,Healthcare
IDT,IDT Corporation,Diversified Telecommunication Services,1.14B,Communication
IDW,IDW Media Holdings,Publishing,25.93M,Communication
IDXX,IDEXX Laboratories,Health Care Equipment & Supplies,55.83B,Healthcare
IDYA,IDEAYA Biosciences,Biotechnology,910.08M,Healthcare
IEA,Infrastructure & Energy Alternatives,Construction & Engineering,441.37M,Industrial
IEP,Icahn Enterprises,Industrial Conglomerates,13.82B,Industrials
IESC,IES Holdings,Construction & Engineering,1.05B,Industrial
IEX,IDEX Corporation,Machinery,17.97B,Industrials
IFBD,Infobird ,Software-Application,27.27M,Information Technology
IFF,International Flavors & Fragrances,Chemicals,38.35B,Materials
IFRX,InflaRx,Biotechnology,210.33M,Healthcare
IFS,Intercorp Financial Services,Banks-Regional,3.10B,Financials
IGAC,IG Acquisition,Blank Check / SPAC,367.88M,SPAC
IGAP,Integrity Applications,Health Care Equipment & Supplies,64.42M,Healthcare
IGC,India Globalization Capital,Trading Companies & Distributors,49.85M,Industrials
IGIC,International General Insurance Holdings,Insurance-Diversified,395.97M,Financials
IGMS,IGM Biosciences,Biotechnology,952.10M,Healthcare
IGNY,Ignyte Acquisition,Blank Check / SPAC,70.98M,SPAC
IGT,International Game Technology,Gambling,5.93B,Discretionary
IH,iHuman,Education & Training Services,149.31M,Discretionary
IHC,Independence Holding Company,Insurance,831.77M,Financials
IHG,InterContinental Hotels Group,"Hotels, Restaurants & Leisure",11.95B,Discretionary
IHRT,iHeartMedia,Media,2.98B,Communication
IHS,IHS Holding,Telecom Services,4.63B,Communication
IHT,InnSuites Hospitality Trust,Equity Real Estate Investment Trusts...,19.70M,Real Estate
III,Information Services Group,IT Services,373.33M,Information Technology
IIII,Insu Acquisition III,Blank Check / SPAC,334.18M,SPAC
IIIN,Insteel Industries,Building Products,772.63M,Industrial
IIIV,i3 Verticals,IT Services,502.26M,Information Technology
IIN,IntriCon,Health Care Equipment & Supplies,147.84M,Healthcare
IINN,Inspira Technologies Oxy B.H.N.,Medical Devices,32.08M,Healthcare
IIPR,Innovative Industrial Properties,Equity Real Estate Investment Trusts...,6.29B,Real Estate
IIVI,II-VI,"Electronic Equipment, Instruments & C...",7.25B,Industrial
IKNA,Ikena Oncology,Biotechnology,528.21M,Healthcare
IKT,Inhibikase Therapeutics,Biotechnology,36.98M,Healthcare
ILMN,Illumina,Life Sciences Tools & Services,59.46B,Healthcare
ILPT,Industrial Logistics Properties Trust,Equity Real Estate Investment Trusts...,1.64B,Real Estate
IMAB,I-Mab,Biotechnology,3.70B,Healthcare
IMAC,IMAC Holdings,Health Care Providers & Services,29.88M,Healthcare
IMAQ,International Media Acquisition,Blank Check / SPAC,233.69M,SPAC
IMAX,IMAX Corporation,Entertainment,1.05B,Communication
IMBI,iMedia Brands,Internet & Direct Marketing Retail,129.36M,Information Technology
IMCC,IM Cannabis,Drug Manufacturers-Specialty & Generic,227.74M,Healthcare
IMCR,Immunocore Holdings,Biotechnology,1.50B,Healthcare
IMGN,ImmunoGen,Biotechnology,1.63B,Healthcare
IMGO,Imago BioSciences,Biotechnology,794.97M,Healthcare
IMH,Impac Mortgage Holdings,Thrifts & Mortgage Finance,23.68M,Financials
IMKTA,"Ingles Markets,",Food & Staples Retailing,1.64B,Staples
IMMP,Immutep,Biotechnology,265.75M,Healthcare
IMMR,Immersion,"Technology Hardware, Storage & Periph...",188.58M,Information Technology
IMMX,Immix Biopharma,Biotechnology,46.81M,Healthcare
IMNM,Immunome,Biotechnology,156.82M,Healthcare
IMO,Imperial Oil,"Oil, Gas & Consumable Fuels",25.11B,Energy
IMOS,ChipMOS Technologies,Semiconductors & Semiconductor Equipment,1.28B,Information Technology
IMPL,Impel NeuroPharma,Biotechnology,198.83M,Healthcare
IMPP,Imperial Petroleum,Oil & Gas E&P,10.22M,Energy
IMPX,AEA-Bridges Impact,Blank Check / SPAC,499.50M,SPAC
IMRA,IMARA,Biotechnology,59.12M,Healthcare
IMRN,Immuron,Biotechnology,16.47M,Healthcare
IMRX,Immuneering,Biotechnology,425.60M,Healthcare
IMTE,Integrated Media Technology,"Electronic Equipment, Instruments & C...",41.70M,Industrial
IMTX,Immatics,Biotechnology,845.50M,Healthcare
IMUX,Immunic,Biotechnology,251.21M,Healthcare
IMV,IMV Inc.,Biotechnology,100.50M,Healthcare
IMVT,Immunovant,Biotechnology,979.80M,Healthcare
IMXI,International Money Express,IT Services,616.27M,Information Technology
INAB,IN8bio,Biotechnology,82.33M,Healthcare
INAQ,Insight Acquisition,Blank Check / SPAC,292.95M,SPAC
INBK,First Internet Bancorp,Banks,463.54M,Financials
INBX,Inhibrx,Biotechnology,1.66B,Healthcare
INCR,Intercure,Drug Manufacturers-Specialty & Generic,298.81M,Healthcare
INCY,Incyte,Biotechnology,16.21B,Healthcare
INDB,Independent Bank,Banks,3.86B,Financials
INDI,indie Semiconductor,Semiconductor Equipment & Materials,1.56B,Information Technology
INDO,Indonesia Energy,"Oil, Gas & Consumable Fuels",20.84M,Energy
INDP,Indaptus Therapeutics,Biotechnology,46.70M,Healthcare
INDT,INDUS Realty Trust,Equity Real Estate Investment Trusts...,824.70M,Real Estate
INFA,Informatica,Software,10.12B,Information Technology
INFI,Infinity Pharmaceuticals,Biotechnology,200.28M,Healthcare
INFN,Infinera,Communications Equipment,2.02B,Industrial
INFO,IHS Markit,Professional Services,53.01B,Services
INFU,InfuSystem Holdings,Health Care Providers & Services,351.66M,Healthcare
INFY,Infosys,IT Services,106.28B,Information Technology
ING,ING Group,Banks,52.56B,Financials
INGN,Inogen,Health Care Equipment & Supplies,772.62M,Healthcare
INGR,Ingredion,Food Products,6.43B,Staples
INKA,KludeIn I Acquisition,Blank Check / SPAC,212.18M,SPAC
INKT,MiNK Therapeutics,Biotechnology,149.43M,Healthcare
INM,InMed Pharmaceuticals,Biotechnology,18.52M,Healthcare
INMB,Inmune Bio,Biotechnology,182.00M,Healthcare
INMD,InMode,Health Care Equipment & Supplies,5.39B,Healthcare
INN,Summit Hotel Properties,Equity Real Estate Investment Trusts...,1.04B,Real Estate
INNV,Innovage Holding,Medical Care Facilities,677.58M,Healthcare
INO,Inovio Pharmaceuticals,Biotechnology,1.05B,Healthcare
INOD,Innodata,IT Services,160.75M,Information Technology
INPX,Inpixon,IT Services,74.76M,Information Technology
INSE,Inspired Entertainment,"Hotels, Restaurants & Leisure",323.62M,Discretionary
INSG,Inseego,Communications Equipment,612.88M,Industrial
INSM,Insmed,Biotechnology,3.22B,Healthcare
INSP,Inspire Medical Systems,Health Care Technology,6.29B,Healthcare
INST,Instructure Holdings,Software-Application,3.37B,Information Technology
INSW,International Seaways,"Oil, Gas & Consumable Fuels",728.30M,Energy
INT,World Fuel Services,"Oil, Gas & Consumable Fuels",1.67B,Energy
INTA,Intapp,Software-Application,1.53B,Information Technology
INTC,Intel,Semiconductors & Semiconductor Equipment,209.45B,Information Technology
INTG,The InterGroup Corporation,Real Estate Management & Development,112.16M,Real Estate
INTT,inTEST,Semiconductors & Semiconductor Equipment,138.31M,Information Technology
INTU,Intuit,Software,182.14B,Information Technology
INTZ,Intrusion,Software,64.65M,Information Technology
INUV,Inuvo,Software,62.94M,Information Technology
INVA,Innoviva,Pharmaceuticals,1.20B,Healthcare
INVE,Identiv,"Electronic Equipment, Instruments & C...",624.90M,Industrial
INVH,Invitation Homes,Equity Real Estate Investment Trusts...,27.06B,Real Estate
INVO,INVO Bioscience,Health Care Equipment & Supplies,39.08M,Healthcare
INVZ,Innoviz Technologies,Auto Parts,847.62M,Industrial
INZY,Inozyme Pharma,Biotechnology,161.39M,Healthcare
IO,ION Geophysical,Energy Equipment & Services,26.06M,Energy
IOBT,IO Biotech,Biotechnology,168.81M,Healthcare
IONM,Assure Holdings,Medical Care Facilities,69.22M,Healthcare
IONQ,"IonQ, Inc.",Computer Hardware,3.21B,Industrial
IONS,Ionis Pharmaceuticals,Biotechnology,4.30B,Healthcare
IOR,Income Opportunity Realty Investors,Thrifts & Mortgage Finance,49.81M,Financials
IOSP,Innospec,Chemicals,2.23B,Materials
IOT,Samsara,Software-Infrastructure,14.07B,Information Technology
IOVA,Iovance Biotherapeutics,Biotechnology,3.00B,Healthcare
IP,International Paper Company,Containers & Packaging,18.19B,Materials
IPA,ImmunoPrecise Antibodies,Biotechnology,104.99M,Healthcare
IPAR,Inter Parfums,Personal Products,3.39B,Discretionary
IPAX,Inflection Point Acquisition,Blank Check / SPAC,361.50M,SPAC
IPDN,Professional Diversity Network,Staffing & Employment Services,15.69M,Discretionary
IPG,The Interpublic Group of Companies,Media,14.75B,Communication
IPGP,IPG Photonics,"Electronic Equipment, Instruments & C...",9.18B,Industrial
IPHA,Innate Pharma,Biotechnology,399.42M,Healthcare
IPI,Intrepid Potash,Chemicals,574.42M,Materials
IPOD,Social Capital Hedosophia Holdings IV,Blank Check / SPAC,587.65M,SPAC
IPOF,Social Capital Hedosophia Holdings VI,Blank Check / SPAC,1.46B,SPAC
IPSC,Century Therapeutics,Biotechnology,866.61M,Healthcare
IPVA,InterPrivate II Acquisition,Blank Check / SPAC,315.67M,SPAC
IPVF,InterPrivate III Financial Partners,Blank Check / SPAC,329.37M,SPAC
IPVI,InterPrivate IV InfraTech Partners,Blank Check / SPAC,350.75M,SPAC
IPW,iPower,Internet Retail,63.05M,Information Technology
IPWR,Ideal Power,Electrical Equipment,71.06M,Industrial
IQ,iQIYI,Entertainment,3.60B,Communication
IQV,IQVIA Holdings,Life Sciences Tools & Services,53.90B,Healthcare
IR,Ingersoll Rand,Machinery,25.22B,Industrials
IRBT,iRobot,Household Durables,1.78B,Discretionary
IRCP,IRSA Propiedades Comerciales,Real Estate Management & Development,305.80M,Real Estate
IRDM,Iridium Communications,Diversified Telecommunication Services,5.46B,Communication
IREN,Iris Energy,Capital Markets,889.93M,Financials
IRIX,IRIDEX,Health Care Equipment & Supplies,96.94M,Healthcare
IRM,Iron Mountain,Equity Real Estate Investment Trusts...,15.15B,Real Estate
IRMD,IRadimed,Health Care Equipment & Supplies,570.31M,Healthcare
IRNT,IronNet,Software-Infrastructure,372.62M,Information Technology
IROQ,IF Bancorp,Thrifts & Mortgage Finance,84.57M,Financials
IRS,IRSA Inversiones y Representaciones,Real Estate Management & Development,554.85M,Real Estate
IRT,Independence Realty Trust,Equity Real Estate Investment Trusts...,5.71B,Real Estate
IRTC,iRhythm Technologies,Health Care Equipment & Supplies,3.46B,Healthcare
IRWD,Ironwood Pharmaceuticals,Biotechnology,1.91B,Healthcare
IS,ironSource,Software-Application,7.86B,Information Technology
ISAA,Iron Spark I,Blank Check / SPAC,219.09M,SPAC
ISBC,Investors Bancorp,Banks,3.75B,Financials
ISDR,Issuer Direct,Software,111.65M,Information Technology
ISEE,IVERIC bio,Biotechnology,1.92B,Healthcare
ISIG,Insignia Systems,Media,40.81M,Communication
ISLE,Isleworth Healthcare Acquisition,Blank Check / SPAC,257.72M,SPAC
ISO,IsoPlexis,Medical Devices,358.00M,Healthcare
ISPC,iSpecimen,Diagnostics & Research,68.18M,Healthcare
ISR,IsoRay,Biotechnology,55.03M,Healthcare
ISRG,Intuitive Surgical,Health Care Equipment & Supplies,128.36B,Healthcare
ISSC,Innovative Solutions & Support,Aerospace & Defense,113.14M,Industrial
ISTR,Investar Holding,Banks,190.42M,Financials
ISUN,"iSun, Inc.",Solar,65.86M,Energy
IT,Gartner,IT Services,27.49B,Information Technology
ITCB,Itau Corpbanca,Banks,1.87B,Financials
ITCI,Intra-Cellular Therapies,Pharmaceuticals,4.26B,Healthcare
ITGR,Integer Holdings,Health Care Equipment & Supplies,2.83B,Healthcare
ITHX,ITHAX Acquisition,Blank Check / SPAC,303.07M,SPAC
ITI,Iteris,"Electronic Equipment, Instruments & C...",169.33M,Industrial
ITIC,Investors Title Company,Insurance,373.43M,Financials
ITOS,iTeos Therapeutics,Biotechnology,1.64B,Healthcare
ITP,IT Tech Packaging,Paper & Forest Products,22.78M,Materials
ITQ,Itiquira Acquisition,Blank Check / SPAC,280.02M,SPAC
ITRG,Integra Resources,Other Precious Metals & Mining,133.53M,Materials
ITRI,Itron,"Electronic Equipment, Instruments & C...",3.10B,Industrial
ITRM,Iterum Therapeutics,Pharmaceuticals,71.61M,Healthcare
ITRN,Ituran Location & Control,Communications Equipment,551.73M,Industrial
ITT,ITT Inc.,Machinery,8.75B,Industrials
ITUB,Itau Unibanco Holding,Banks,36.67B,Financials
ITW,Illinois Tool Works,Machinery,77.47B,Industrials
IVA,Inventiva,Biotechnology,556.55M,Healthcare
IVAC,Intevac,"Technology Hardware, Storage & Periph...",115.82M,Information Technology
IVAN,Ivanhoe Capital Acquisition,Blank Check / SPAC,343.28M,SPAC
IVC,Invacare,Health Care Equipment & Supplies,95.25M,Healthcare
IVR,Invesco Mortgage Capital,Mortgage Real Estate Investment Trus...,866.64M,Real Estate
IVT,InvenTrust Properties,REIT-Retail,1.94B,Real Estate
IVZ,Invesco,Capital Markets,10.62B,Financials
IX,ORIX Corporation,Diversified Financial Services,24.42B,Financials
IXAQ,IX Acquisition,Blank Check / SPAC,242.50M,SPAC
IZEA,IZEA Worldwide,Interactive Media & Services,83.08M,Information Technology
J,Jacobs Engineering Group,Construction & Engineering,18.02B,Industrial
JACK,Jack in the Box,"Hotels, Restaurants & Leisure",1.84B,Discretionary
JAGX,Jaguar Health,Pharmaceuticals,47.94M,Healthcare
JAKK,JAKKS Pacific,Leisure Products,96.56M,Discretionary
JAMF,Jamf Holding,Software,4.52B,Information Technology
JAN,JanOne,Commercial Services & Supplies,11.56M,Industrial
JANX,Janux Therapeutics,Biotechnology,820.99M,Healthcare
JAQC,Jupiter Acquisition,Blank Check / SPAC,195.06M,SPAC
JATT,JATT Acquisition,Blank Check / SPAC,148.05M,SPAC
JAZZ,Jazz Pharmaceuticals,Pharmaceuticals,7.83B,Healthcare
JBGS,JBG SMITH Properties,Equity Real Estate Investment Trusts...,3.72B,Real Estate
JBHT,J.B. Hunt Transport Services,Road & Rail,21.46B,Industrials
JBI,Janus International Group,Building Products & Equipment,1.83B,Industrial
JBL,Jabil,"Electronic Equipment, Instruments & C...",10.14B,Industrial
JBLU,JetBlue Airways,Airlines,4.53B,Industrial
JBSS,John B. Sanfilippo & Son,Food Products,1.03B,Staples
JBT,John Bean Technologies,Machinery,4.88B,Industrials
JCI,Johnson Controls International,Building Products,57.27B,Industrial
JCIC,Jack Creek Investment,Blank Check / SPAC,420.90M,SPAC
JCS,Communications Systems,Communications Equipment,23.33M,Industrial
JCTCF,Jewett-Cameron Trading Company,Building Products,29.44M,Industrial
JD,JD.com,Internet & Direct Marketing Retail,109.80B,Information Technology
JEF,Jefferies Financial Group,Diversified Financial Services,9.53B,Financials
JELD,JELD-WEN Holding,Building Products,2.42B,Industrial
JFIN,Jiayin Group,Consumer Finance,118.86M,Financials
JFU,9F Inc.,Interactive Media & Services,369.97M,Information Technology
JG,Aurora Mobile,Software,123.16M,Information Technology
JHG,Janus Henderson Group,Capital Markets,7.13B,Financials
JHX,James Hardie Industries,Construction Materials,18.11B,Materials
JILL,J.Jill,Specialty Retail,191.57M,Discretionary
JJSF,J & J Snack Foods,Food Products,3.02B,Staples
JKHY,Jack Henry & Associates,IT Services,12.36B,Information Technology
JKS,JinkoSolar Holding Company,Semiconductors & Semiconductor Equipment,2.19B,Information Technology
JLL,Jones Lang LaSalle,Real Estate Management & Development,13.59B,Real Estate
JMAC,Jade Mountain Acquisition,Blank Check / SPAC,116.11M,SPAC
JMIA,Jumia Technologies AG,Internet & Direct Marketing Retail,1.12B,Information Technology
JNCE,Jounce Therapeutics,Biotechnology,427.88M,Healthcare
JNJ,Johnson & Johnson,Pharmaceuticals,450.36B,Healthcare
JNPR,Juniper Networks,Communications Equipment,11.61B,Industrial
JOAN,JOANN,Specialty Retail,427.46M,Discretionary
JOB,GEE Group,Professional Services,65.04M,Services
JOBS,51job,Professional Services,3.30B,Services
JOBY,Joby Aviation,Airports & Air Services,4.41B,Industrial
JOE,The St. Joe Company,Real Estate Management & Development,3.06B,Real Estate
JOFF,JOFF Fintech Acquisition,Blank Check / SPAC,504.56M,SPAC
JOUT,Johnson Outdoors,Leisure Products,948.82M,Discretionary
JP,Jupai Holdings,Capital Markets,34.22M,Financials
JPM,JPMorgan Chase & Co.,Banks,467.97B,Financials
JRJC,China Finance Online Co.,Capital Markets,15.95M,Financials
JRSH,Jerash Holdings (US),"Textiles, Apparel & Luxury Goods",79.80M,Discretionary
JRVR,James River Group Holdings,Insurance,1.07B,Financials
JSPR,Jasper Therapeutics,Biotechnology,38.98M,Healthcare
